n,k,"Wn,k1","Wn,k2","Wn,k3","Wn,k4","Wn,k5","Wn,k6","Wn,k7","Wn,k8","Wn,k9","Wn,k10","Wn,k11","Wn,k12","Wn,k13","Wn,k14","Wn,k15","Wn,k16","Wn,k17","Wn,k18","Wn,k19","Wn,k20","Wn,k21","Wn,k22","Wn,k23","Wn,k24","Wn,k25","Wn,k26","Wn,k27","Wn,k28","Wn,k29","Wn,k30","Wn,k31","Wn,k32","Wn,k33","Wn,k34","Wn,k35","Wn,k36","Wn,k37","Wn,k38","Wn,k39","Wn,k40","Wn,k41","Wn,k42","Wn,k43","Wn,k44","Wn,k45","Wn,k46","Wn,k47","Wn,k48","Wn,k49","Wn,k50","Wn,k51","Wn,k52","Wn,k53","Wn,k54","Wn,k55","Wn,k56","Wn,k57","Wn,k58","Wn,k59","Wn,k60","Wn,k61","Wn,k62","Wn,k63","Wn,k64","Wn,k65","Wn,k66","Wn,k67","Wn,k68","Wn,k69","Wn,k70","Wn,k71","Wn,k72","Wn,k73","Wn,k74","Wn,k75","Wn,k76","Wn,k77","Wn,k78","Wn,k79","Wn,k80","Wn,k81","Wn,k82","Wn,k83","Wn,k84","Wn,k85","Wn,k86","Wn,k87","Wn,k88","Wn,k89","Wn,k90","Wn,k91","Wn,k92","Wn,k93","Wn,k94","Wn,k95","Wn,k96","Wn,k97","Wn,k98","Wn,k99","Wn,k100"
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,3,-3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,0,3,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,4,-6,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,0,6,-8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,0,0,4,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
